Index | Id | CVSS v3 Score | Update Date
1 | CVE-2021-30633 | 9.6 CRITICAL | 2024-07-26
2 | CVE-2021-37973 | 9.6 CRITICAL | 2024-07-26
3 | CVE-2024-4949 | 9.6 CRITICAL | 2024-07-03
4 | CVE-2024-4671 | 9.6 CRITICAL | 2024-07-03
5 | CVE-2024-3847 | 9.8 CRITICAL | 2024-07-03
6 | CVE-2024-3845 | 9.8 CRITICAL | 2024-07-03
7 | CVE-2022-3075 | 9.6 CRITICAL | 2024-06-28
8 | CVE-2022-4135 | 9.6 CRITICAL | 2024-06-28
9 | CVE-2023-6345 | 9.6 CRITICAL | 2024-06-17
10 | CVE-2014-3180 | 9.1 CRITICAL | 2024-05-17
11 | CVE-2024-1283 | 9.8 CRITICAL | 2024-02-14
12 | CVE-2024-1284 | 9.8 CRITICAL | 2024-02-14
13 | CVE-2024-0808 | 9.8 CRITICAL | 2024-01-29
14 | CVE-2019-13690 | 9.6 CRITICAL | 2023-12-10
15 | CVE-2022-4924 | 9.6 CRITICAL | 2023-12-10
16 | CVE-2022-4920 | 9.6 CRITICAL | 2023-12-10
17 | CVE-2023-2136 | 9.6 CRITICAL | 2023-12-10
18 | CVE-2023-1529 | 9.8 CRITICAL | 2023-12-10
19 | CVE-2022-3890 | 9.6 CRITICAL | 2023-12-10
20 | CVE-2022-2587 | 9.8 CRITICAL | 2023-12-10
